supergroup	division	subdivision	class	genomes	max.rDNA_copies	max.rDNA_variants	avg.distance	min.length	max.length	mean.length
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	7	2	1	0	5260	6837	6361.85714285714
Amoebozoa	Evosea	Variosea	Variosea_X	2	1	1	0	4891	5778	5334.5
Amoebozoa	Discosea	Discosea_X	Longamoebia	9	59	36	0.00680357501577547	4814	7027	5806.77777777778
Amoebozoa	Discosea	Discosea_X	Himatismenida	1	1	1	0	5385	5385	5385
Amoebozoa	Tubulinea	Echinamoebida	Echinamoebida_X	1	8	2	0.102878115238385	6055	6125	6125
Apusozoa	Apusozoa_XX	Apusozoa_XXX	Apusozoa_XXXX	1	1	1	0	6118	6118	6118
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	1884	5947	2097	0.0331825431460564	4136	13249	5639.37951167728
Archaeplastida	Viridiplantae	Streptophyta	Bryopsida	10	320	6	0.00614353125311071	4525	6200	5867.1
Archaeplastida	Viridiplantae	Streptophyta	Lycopodiopsida	4	52	31	0.0379478821196695	4810	6482	5891.5
Archaeplastida	Viridiplantae	Streptophyta	Pinopsida	14	2311	259	0.0644256979334578	4517	6406	5855.92857142857
Archaeplastida	Viridiplantae	Streptophyta	Mesostigmatophyceae	2	18	1	0	5541	5925	5733
Archaeplastida	Viridiplantae	Streptophyta	Polypodiopsida	3	24	7	0.0807888811960642	4500	6096	5857.33333333333
Archaeplastida	Viridiplantae	Streptophyta	Gnetopsida	1	1	1	0	6376	6376	6376
Archaeplastida	Viridiplantae	Streptophyta	Sphagnopsida	1	2	1	0	6000	6000	6000
Archaeplastida	Viridiplantae	Streptophyta	Cycadopsida	1	539	537	0.0776162434469668	4438	6664	6301
Archaeplastida	Viridiplantae	Streptophyta	Takakiopsida	1	6	1	0	6051	6051	6051
Archaeplastida	Viridiplantae	Streptophyta	Polytrichopsida	1	20	2	0.00747332660642883	6328	6347	6347
Archaeplastida	Viridiplantae	Chlorophyta	Chlorophyceae	43	112	6	0.011010813775553	4347	6620	5707.6976744186
Archaeplastida	Viridiplantae	Chlorophyta	Mamiellophyceae	17	3	1	0	5504	5741	5533.35294117647
Archaeplastida	Viridiplantae	Chlorophyta	Trebouxiophyceae	27	14	6	0.00156657755803786	4433	7448	5829.25925925926
Archaeplastida	Viridiplantae	Chlorophyta	Picocystophyceae	2	10	2	0.00830256546073295	6619	6626	6621
Archaeplastida	Viridiplantae	Chlorophyta	Ulvophyceae	4	6	2	0.00202484051397845	5242	5614	5509.5
