supergroup	division	genomes	max.rDNA_copies	max.rDNA_variants	avg.distance	min.length	max.length	mean.length
Amoebozoa	Evosea	9	2	1	0	4891	6837	6133.55555555556
Amoebozoa	Discosea	10	59	36	0.00612321751419792	4814	7027	5764.6
Amoebozoa	Tubulinea	1	8	2	0.102878115238385	6055	6125	6125
Apusozoa	Apusozoa_XX	1	1	1	0	6118	6118	6118
Archaeplastida	Viridiplantae	2024	5947	2097	0.0318671053321558	4136	13249	5647.1378458498
Archaeplastida	Rhodophyta	29	21	10	0.00579447955834862	4694	6634	6073.10344827586
Archaeplastida	Glaucophyta	1	5	1	0	5381	5381	5381
CRuMS	Mantamonadidea	1	3	1	0	6527	6527	6527
Excavata	Discoba	91	36	11	0.000922349030669687	4684	7448	6560.87912087912
Excavata	Metamonada	3	17	3	0.0038595148175126	4757	6047	5437.33333333333
Haptista	Haptophyta	3	20	1	0	4915	6020	5535
Opisthokonta	Metazoa	2711	4691	665	0.00967059696129176	4162	16463	6388.33345628919
Opisthokonta	Fungi	6625	1078	81	0.0104318395262892	4185	7105	5607.03350943396
Opisthokonta	Filasterea	2	3	1	0	5367	6611	5989
Opisthokonta	Ichthyosporea	2	4	4	0.00624587095862467	5407	5486	5446
Opisthokonta	Opisthokonta_X	1	1	1	0	5946	5946	5946
SAR	Alveolata	188	59	30	0.00274169887824963	4647	10794	6190.94680851064
SAR	Rhizaria	4	6	2	0.00147933323077159	4702	6545	5763.75
SAR	Stramenopiles	229	376	87	0.00669938394408573	4261	7317	5974.14410480349
