supergroup	division	subdivision	class	order	family	genomes	max.rDNA_copies	max.rDNA_variants	avg.distance	min.length	max.length	mean.length
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Acytosteliales	Acytosteliaceae	2	2	1	0	5260	6829	6044.5
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Acytosteliales	Cavenderiaceae	1	1	1	0	6731	6731	6731
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Dictyostelia	Dictyostelia	1	1	1	0	6692	6692	6692
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Dictyosteliales	Dictyosteliaceae	2	1	1	0	5515	6669	6092
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Dictyosteliales	Dictyosteliales_X	1	1	1	0	6837	6837	6837
Amoebozoa	Evosea	Variosea	Variosea_X	Cavosteliida	Cavosteliaceae	1	1	1	0	5778	5778	5778
Amoebozoa	Evosea	Variosea	Variosea_X	Protosteliida	Protosteliaceae	1	1	1	0	4891	4891	4891
Amoebozoa	Discosea	Discosea_X	Longamoebia	Centramoebida	Acanthamoebidae	3	2	1	0	5537	5726	5661
Amoebozoa	Discosea	Discosea_X	Longamoebia	Centramoebida	Balamuthiidae	3	59	36	0.0176549116411275	4814	7027	6079.66666666667
Amoebozoa	Discosea	Discosea_X	Longamoebia	Longamoebia	Acanthamoebidae	3	4	3	0.00275581340619887	5617	5733	5679.66666666667
Amoebozoa	Discosea	Discosea_X	Himatismenida	Himatismenida	Cochliopodiidae	1	1	1	0	5385	5385	5385
Amoebozoa	Tubulinea	Echinamoebida	Echinamoebida_X	Echinamoebida	Echinamoebida	1	8	2	0.102878115238385	6055	6125	6125
Apusozoa	Apusozoa_XX	Apusozoa_XXX	Apusozoa_XXXX	Apusomonadida	Apusomonadidae	1	1	1	0	6118	6118	6118
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Acorales	Acoraceae	2	13	2	0.00127591196137726	5242	5839	5307.5
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae	12	46	16	0.00385286344615949	4512	6162	5870.83333333333
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Zosteraceae	1	7	7	0.0202260197687559	4487	5276	4487
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Amborellales	Amborellaceae	1	3	3	0.137207665851146	5741	5811	5755
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	3	1546	10	0.00180072870476776	5047	5882	5561.33333333333
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Araliaceae	6	773	23	0.0729119359170166	4381	6217	5542.66666666667
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Pittosporaceae	1	1	1	0	5693	5693	5693
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Aquifoliales	Aquifoliaceae	4	1020	6	0.0109015459240964	4437	5898	5606.75
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Arecales	Arecaceae	7	173	162	0.0432471195848189	4422	5988	5661.42857142857
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Amaryllidaceae	6	4714	783	0.0511330789533568	4378	6234	5452.33333333333
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Asparagaceae	6	6	2	0.00294090421486603	4498	5883	5100.83333333333
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Asphodelaceae	1	5	5	0.0877153495855794	4445	5868	4445
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Hyacinthaceae	1	1402	50	0.02850577555629	4439	5930	5664
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Iridaceae	1	94	53	0.0164088733530875	4685	5935	5434
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	12	17	4	0.0915524549282912	4413	5909	5455.08333333333
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	58	4344	2097	0.0279672171928687	4183	6936	5659.91379310345
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Campanulaceae	4	10	10	0.054741472961357	4502	5904	5275.25
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	3	14	14	0.134975183331412	4510	5832	5310.66666666667
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Hydrophyllaceae	2	1221	4	0.00824923408797566	5760	5816	5795
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Akaniaceae	2	2617	71	0.0148072411894067	4895	5913	5861
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	236	3290	1017	0.010377560655726	4239	13249	5687.4406779661
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Caricaceae	3	89	72	0.0216066901109545	5415	5834	5787
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Cleomaceae	1	2	1	0	5681	5681	5681
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Moringaceae	2	462	411	0.12902115203044	4425	5983	5552.5
