supergroup	division	subdivision	class	order	family	genus	genomes	max.rDNA_copies	max.rDNA_variants	avg.distance	min.length	max.length	mean.length
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Acytosteliales	Acytosteliaceae	Heterostelium	1	2	1	0	6829	6829	6829
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Acytosteliales	Acytosteliaceae	Rostrostelium	1	1	1	0	5260	5260	5260
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Acytosteliales	Cavenderiaceae	Cavenderia	1	1	1	0	6731	6731	6731
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Dictyostelia	Dictyostelia	Synstelium	1	1	1	0	6692	6692	6692
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Dictyosteliales	Dictyosteliaceae	Dictyostelium	1	1	1	0	6669	6669	6669
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Dictyosteliales	Dictyosteliaceae	Polysphondylium	1	1	1	0	5515	5515	5515
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Dictyosteliales	Dictyosteliales_X	Coremiostelium	1	1	1	0	6837	6837	6837
Amoebozoa	Evosea	Variosea	Variosea_X	Cavosteliida	Cavosteliaceae	Planoprotostelium	1	1	1	0	5778	5778	5778
Amoebozoa	Evosea	Variosea	Variosea_X	Protosteliida	Protosteliaceae	Protostelium	1	1	1	0	4891	4891	4891
Amoebozoa	Discosea	Discosea_X	Longamoebia	Centramoebida	Acanthamoebidae	Acanthamoeba	3	2	1	0	5537	5726	5661
Amoebozoa	Discosea	Discosea_X	Longamoebia	Centramoebida	Balamuthiidae	Balamuthia	3	59	36	0.0176549116411275	4814	7027	6079.66666666667
Amoebozoa	Discosea	Discosea_X	Longamoebia	Longamoebia	Acanthamoebidae	Acanthamoeba	3	4	3	0.00275581340619887	5617	5733	5679.66666666667
Amoebozoa	Discosea	Discosea_X	Himatismenida	Himatismenida	Cochliopodiidae	Cochliopodium	1	1	1	0	5385	5385	5385
Amoebozoa	Tubulinea	Echinamoebida	Echinamoebida_X	Echinamoebida	Echinamoebida	Vermamoeba	1	8	2	0.102878115238385	6055	6125	6125
Apusozoa	Apusozoa_XX	Apusozoa_XXX	Apusozoa_XXXX	Apusomonadida	Apusomonadidae	Thecamonas	1	1	1	0	6118	6118	6118
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Acorales	Acoraceae	Acorus	2	13	2	0.00127591196137726	5242	5839	5307.5
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae	Colocasia	2	5	1	0	5905	5906	5905.5
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae	Lemna	1	1	1	0	5918	5918	5918
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae	Spirodela	5	46	16	0.00436651232431954	4512	6092	5675.8
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae	Wolffia	4	6	3	0.00610044993307905	6037	6162	6085.5
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Zosteraceae	Zostera	1	7	7	0.0202260197687559	4487	5276	4487
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Amborellales	Amborellaceae	Amborella	1	3	3	0.137207665851146	5741	5811	5755
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Centella	1	2	1	0	5828	5828	5828
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Heracleum	1	1546	10	0.00540218611430328	5722	5882	5809
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Oenanthe	1	1	1	0	5047	5047	5047
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Araliaceae	Hedera	2	773	23	0.00769972256923116	4633	5904	5829.5
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Araliaceae	Panax	4	49	11	0.105518042590909	4381	6217	5399.25
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Pittosporaceae	Pittosporum	1	1	1	0	5693	5693	5693
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Aquifoliales	Aquifoliaceae	Ilex	4	1020	6	0.0109015459240964	4437	5898	5606.75
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Arecales	Arecaceae	Areca	1	173	162	0.0425986811566619	4422	5933	5043
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Arecales	Arecaceae	Calamus	1	50	12	0.0448391969598771	5594	5923	5922
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Arecales	Arecaceae	Cocos	2	16	3	0.0502972240443698	4580	5988	5941
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Arecales	Arecaceae	Metroxylon	1	6	5	0.089401044068983	5265	5917	5265
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Arecales	Arecaceae	Phoenix	2	56	24	0.0126482334097355	4842	5928	5759
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Amaryllidaceae	Allium	6	4714	783	0.0511330789533568	4378	6234	5452.33333333333
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Asparagaceae	Asparagus	6	6	2	0.00294090421486603	4498	5883	5100.83333333333
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Asphodelaceae	Hemerocallis	1	5	5	0.0877153495855794	4445	5868	4445
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Hyacinthaceae	Scilla	1	1402	50	0.02850577555629	4439	5930	5664
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Iridaceae	Iris	1	94	53	0.0164088733530875	4685	5935	5434
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Cymbidium	1	1	1	0	5282	5282	5282
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Dendrobium	4	17	4	0.0155191379934836	4704	5909	5771.25
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Gastrodia	2	5	2	0.0297846321749252	5629	5846	5833.5
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Papilionanthe	1	2	2	0.154545261048558	5281	5880	5281
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Phalaenopsis	1	1	1	0	5876	5876	5876
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Vanilla	3	3	3	0.274146127255717	4413	5662	4756.66666666667
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Ambrosia	4	1400	20	0.00733176644323	4682	5916	5838.5
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Arctium	2	1051	13	0.0160893285096175	5836	5912	5847
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	5	197	58	0.0687190791362563	4512	6015	5713.4
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Bidens	2	1260	11	0.0334797670047556	4621	5913	5848
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Calendula	1	1	1	0	5854	5854	5854
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	1	235	120	0.189767903789758	4477	6372	5837
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Centrapalus	1	7	1	0	5834	5834	5834
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Chrysanthemum	3	16	9	0.0709721809589191	4427	5847	5610.66666666667
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cichorium	2	1135	52	0.00539532277658342	4851	5931	5562.5
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cynara	1	1	1	0	4457	4457	4457
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Erigeron	2	7	1	0	4647	5835	5241
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Flaveria	7	26	3	0.00190056795953181	4438	5858	5519.85714285714
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Glebionis	1	435	3	0.00345662108627479	5833	5869	5833
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Helianthus	9	4344	37	0.0335225264053093	4726	5921	5854.44444444444
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Helichrysum	1	749	20	0.00873823091499367	5497	5883	5840
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Lactuca	5	194	3	0.018677840724076	4553	5865	5461.4
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Mikania	1	9	5	0.00834608931735945	5845	5879	5861
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Pseudognaphalium	2	402	3	0.00300522806198618	5839	5845	5839.5
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Pulicaria	1	560	10	0.0101955081127406	5786	5828	5807
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Scalesia	1	11	9	0.119383364956123	4867	6936	5111
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Senecio	1	2	2	0.00480132924149594	5447	5854	5854
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Silybum	1	3051	2097	0.00796034471699663	4183	5897	5646
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Smallanthus	1	3786	151	0.0115427558585325	4468	5934	5851
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Tagetes	2	440	18	0.0171067960769965	4825	5911	5341.5
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	1	26	22	0.113518643016385	4737	6027	5742
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Campanulaceae	Adenophora	1	10	10	0.0387182342641438	4869	5893	4869
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Campanulaceae	Campanula	1	4	4	0.0296092353549099	5761	5904	5890
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Campanulaceae	Codonopsis	1	3	3	0.0959212203083268	4676	5796	4676
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Campanulaceae	Platycodon	1	2	2	0.0547172019180476	4502	5666	5666
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Echium	1	12	2	0.003151754241457	4510	5770	4510
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Lithospermum	2	14	14	0.200886897876389	5478	5832	5711
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	Hydrophyllaceae	Nemophila	2	1221	4	0.00824923408797566	5760	5816	5795
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Akaniaceae	Bretschneidera	2	2617	71	0.0148072411894067	4895	5913	5861
