supergroup	division	subdivision	class	order	genomes	max.rDNA_copies	max.rDNA_variants	avg.distance	min.length	max.length	mean.length
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Acytosteliales	3	2	1	0	5260	6829	6273.33333333333
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Dictyostelia	1	1	1	0	6692	6692	6692
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Dictyosteliales	3	1	1	0	5515	6837	6340.33333333333
Amoebozoa	Evosea	Variosea	Variosea_X	Cavosteliida	1	1	1	0	5778	5778	5778
Amoebozoa	Evosea	Variosea	Variosea_X	Protosteliida	1	1	1	0	4891	4891	4891
Amoebozoa	Discosea	Discosea_X	Longamoebia	Centramoebida	6	59	36	0.00882745582056377	4814	7027	5870.33333333333
Amoebozoa	Discosea	Discosea_X	Longamoebia	Longamoebia	3	4	3	0.00275581340619887	5617	5733	5679.66666666667
Amoebozoa	Discosea	Discosea_X	Himatismenida	Himatismenida	1	1	1	0	5385	5385	5385
Amoebozoa	Tubulinea	Echinamoebida	Echinamoebida_X	Echinamoebida	1	8	2	0.102878115238385	6055	6125	6125
Apusozoa	Apusozoa_XX	Apusozoa_XXX	Apusozoa_XXXX	Apusomonadida	1	1	1	0	6118	6118	6118
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Acorales	2	13	2	0.00127591196137726	5242	5839	5307.5
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	13	46	16	0.00511233700943614	4487	6162	5764.38461538462
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Amborellales	1	3	3	0.137207665851146	5741	5811	5755
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	10	1546	23	0.0442873801616403	4381	6217	5563.3
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Aquifoliales	4	1020	6	0.0109015459240964	4437	5898	5606.75
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Arecales	7	173	162	0.0432471195848189	4422	5988	5661.42857142857
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	27	4714	783	0.0576186428386588	4378	6234	5345.2962962963
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	62	4344	2097	0.0296945885327711	4183	6936	5635.09677419355
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Boraginales	5	1221	14	0.0842848036340374	4510	5832	5504.4
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	244	3290	1017	0.011481890047229	4239	13249	5688.95491803279
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	46	2028	250	0.0449614272660277	4285	9419	5592.80434782609
