supergroup	division	subdivision	class	order	family	genus	species	genomes	max.rDNA_copies	max.rDNA_variants	avg.distance	min.length	max.length	mean.length
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Acytosteliales	Acytosteliaceae	Heterostelium	Heterostelium multicystogenum	1	2	1	0	6829	6829	6829
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Acytosteliales	Acytosteliaceae	Rostrostelium	Rostrostelium ellipticum	1	1	1	0	5260	5260	5260
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Acytosteliales	Cavenderiaceae	Cavenderia	Cavenderia deminutiva	1	1	1	0	6731	6731	6731
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Dictyostelia	Dictyostelia	Synstelium	Synstelium polycarpum	1	1	1	0	6692	6692	6692
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Dictyosteliales	Dictyosteliaceae	Dictyostelium	Dictyostelium discoideum	1	1	1	0	6669	6669	6669
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Dictyosteliales	Dictyosteliaceae	Polysphondylium	Polysphondylium violaceum	1	1	1	0	5515	5515	5515
Amoebozoa	Evosea	Eumycetozoa	Eumycetozoa_X	Dictyosteliales	Dictyosteliales_X	Coremiostelium	Coremiostelium polycephalum	1	1	1	0	6837	6837	6837
Amoebozoa	Evosea	Variosea	Variosea_X	Cavosteliida	Cavosteliaceae	Planoprotostelium	Planoprotostelium fungivorum	1	1	1	0	5778	5778	5778
Amoebozoa	Evosea	Variosea	Variosea_X	Protosteliida	Protosteliaceae	Protostelium	Protostelium mycophagum	1	1	1	0	4891	4891	4891
Amoebozoa	Discosea	Discosea_X	Longamoebia	Centramoebida	Acanthamoebidae	Acanthamoeba	Acanthamoeba castellanii	3	2	1	0	5537	5726	5661
Amoebozoa	Discosea	Discosea_X	Longamoebia	Centramoebida	Balamuthiidae	Balamuthia	Balamuthia mandrillaris	3	59	36	0.0176549116411275	4814	7027	6079.66666666667
Amoebozoa	Discosea	Discosea_X	Longamoebia	Longamoebia	Acanthamoebidae	Acanthamoeba	Acanthamoeba sp. SK_2022a	1	1	1	0	5689	5689	5689
Amoebozoa	Discosea	Discosea_X	Longamoebia	Longamoebia	Acanthamoebidae	Acanthamoeba	Acanthamoeba sp. SK_2022b	1	4	3	0.00826744021859662	5650	5733	5733
Amoebozoa	Discosea	Discosea_X	Longamoebia	Longamoebia	Acanthamoebidae	Acanthamoeba	Acanthamoeba sp. SK_2022c	1	1	1	0	5617	5617	5617
Amoebozoa	Discosea	Discosea_X	Himatismenida	Himatismenida	Cochliopodiidae	Cochliopodium	Cochliopodium minus	1	1	1	0	5385	5385	5385
Amoebozoa	Tubulinea	Echinamoebida	Echinamoebida_X	Echinamoebida	Echinamoebida	Vermamoeba	Vermamoeba vermiformis	1	8	2	0.102878115238385	6055	6125	6125
Apusozoa	Apusozoa_XX	Apusozoa_XXX	Apusozoa_XXXX	Apusomonadida	Apusomonadidae	Thecamonas	Thecamonas trahens	1	1	1	0	6118	6118	6118
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Acorales	Acoraceae	Acorus	Acorus calamus	1	13	2	0.00255182392275452	5242	5839	5242
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Acorales	Acoraceae	Acorus	Acorus gramineus	1	1	1	0	5373	5373	5373
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae	Colocasia	Colocasia esculenta	2	5	1	0	5905	5906	5905.5
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae	Lemna	Lemna minuta	1	1	1	0	5918	5918	5918
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae	Spirodela	Spirodela intermedia	2	46	16	0.00916712751592045	4512	6092	5114
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae	Spirodela	Spirodela polyrhiza	3	10	2	0.0011661021965856	6038	6062	6050.33333333333
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae	Wolffia	Wolffia australiana	4	6	3	0.00610044993307905	6037	6162	6085.5
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Zosteraceae	Zostera	Zostera nigricaulis	1	7	7	0.0202260197687559	4487	5276	4487
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Amborellales	Amborellaceae	Amborella	Amborella trichopoda	1	3	3	0.137207665851146	5741	5811	5755
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Centella	Centella asiatica	1	2	1	0	5828	5828	5828
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Heracleum	Heracleum sosnowskyi	1	1546	10	0.00540218611430328	5722	5882	5809
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Oenanthe	Oenanthe javanica	1	1	1	0	5047	5047	5047
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Araliaceae	Hedera	Hedera helix	2	773	23	0.00769972256923116	4633	5904	5829.5
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Araliaceae	Panax	Panax japonicus	1	2	2	0.0872892388974106	4470	5819	4470
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Araliaceae	Panax	Panax notoginseng	1	49	11	0.0635776789018246	5539	5818	5818
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Araliaceae	Panax	Panax quinquefolius	1	6	6	0.225900896358567	4381	6217	6137
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Araliaceae	Panax	Panax stipuleanatus	1	2	2	0.045304356205835	5172	5749	5172
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Pittosporaceae	Pittosporum	Pittosporum tobira	1	1	1	0	5693	5693	5693
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Aquifoliales	Aquifoliaceae	Ilex	Ilex aquifolium	2	1020	6	0.0119458445080939	4437	5898	5851
Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Aquifoliales	Aquifoliaceae	Ilex	Ilex asprella	1	1	1	0	5687	5687	5687
