supergroup	division	subdivision	genomes	max.rDNA_copies	max.rDNA_variants	avg.distance	min.length	max.length	mean.length
Amoebozoa	Evosea	Eumycetozoa	7	2	1	0	5260	6837	6361.85714285714
Amoebozoa	Evosea	Variosea	2	1	1	0	4891	5778	5334.5
Amoebozoa	Discosea	Discosea_X	10	59	36	0.00612321751419792	4814	7027	5764.6
Amoebozoa	Tubulinea	Echinamoebida	1	8	2	0.102878115238385	6055	6125	6125
Apusozoa	Apusozoa_XX	Apusozoa_XXX	1	1	1	0	6118	6118	6118
Archaeplastida	Viridiplantae	Streptophyta	1922	5947	2097	0.0332770833053538	4136	13249	5644.60145681582
Archaeplastida	Viridiplantae	Chlorophyta	102	112	6	0.00529869685679591	4347	7448	5694.93137254902
Archaeplastida	Rhodophyta	Rhodophyta	29	21	10	0.00579447955834862	4694	6634	6073.10344827586
Archaeplastida	Glaucophyta	Glaucophyta_X	1	5	1	0	5381	5381	5381
CRuMS	Mantamonadidea	Mantamonadidea_X	1	3	1	0	6527	6527	6527
Excavata	Discoba	Euglenozoa	84	36	11	0.000999211449892161	4684	7448	6627.09523809524
Excavata	Discoba	Heterolobosea	7	6	1	0	5605	6105	5766.28571428571
Excavata	Metamonada	Fornicata	2	6	3	0.00431024721002275	5580	5975	5777.5
Excavata	Metamonada	Preaxostyla	1	17	2	0.0029580500324923	4757	6047	4757
Haptista	Haptophyta	Haptophyta_X	3	20	1	0	4915	6020	5535
Opisthokonta	Metazoa	Arthropoda	1849	4691	139	0.00787500059294128	4395	16463	6684.88642509465
Opisthokonta	Metazoa	Chordata	442	1007	665	0.0147367864098975	4162	13305	5369.77375565611
Opisthokonta	Metazoa	Mollusca	108	505	96	0.0265948704818077	4640	11390	6384.16666666667
Opisthokonta	Metazoa	Echinodermata	26	710	45	0.0135658581868941	4772	10310	5864.96153846154
Opisthokonta	Metazoa	Nematoda	132	448	15	0.0074940413787235	4415	10248	5972.08333333333
Opisthokonta	Metazoa	Platyhelminthes	14	679	76	0.0109695758901599	4910	11943	6425.78571428571
Opisthokonta	Metazoa	Cnidaria	49	880	40	0.00843967340025032	4409	10417	5936.42857142857
Opisthokonta	Metazoa	Ctenophora	4	4	2	0.0164455133737439	4558	6236	5275
Opisthokonta	Metazoa	Annelida	26	646	6	0.00262937266006866	4440	10955	6611.88461538462
Opisthokonta	Metazoa	Priapulida	1	1	1	0	7473	7473	7473
Opisthokonta	Metazoa	Rotifera	33	25	4	0.00184671224436718	4453	10979	6227.93939393939
Opisthokonta	Metazoa	Tardigrada	4	3	3	0.00227100494236437	5000	7748	6245.75
Opisthokonta	Metazoa	Spiralia	2	49	1	0	5300	6675	5987.5
Opisthokonta	Metazoa	Acanthocephala	1	46	15	0.000751740691595591	6064	10883	10776
Opisthokonta	Metazoa	Nemertea	2	4	1	0	6413	6415	6414
Opisthokonta	Metazoa	Porifera	18	258	8	0.0086799899664676	4624	7588	5959.5
Opisthokonta	Fungi	Ascomycota	5676	1078	81	0.0116978729546227	4185	6905	5595.49823819591
Opisthokonta	Fungi	Basidiomycota	764	463	26	0.00274976156819112	4272	6691	5652.25392670157
Opisthokonta	Fungi	Mucoromycota	109	68	5	0.00548158395023746	4263	6646	5691.54128440367
Opisthokonta	Fungi	Chytridiomycota	22	11	1	0	4787	6409	5802.86363636364
Opisthokonta	Fungi	Blastocladiomycota	3	8	2	0.000915081067276375	4486	6058	6012.66666666667
Opisthokonta	Fungi	Zoopagomycota	41	49	4	0.000311079008577919	4855	7105	6090.14634146341
Opisthokonta	Fungi	Fungi_X	1	1	1	0	4706	4706	4706
Opisthokonta	Fungi	Aphelidiomycota	1	5	1	0	5102	5102	5102
Opisthokonta	Fungi	Agaricomycotina	8	1	1	0	4323	5678	5330.5
Opisthokonta	Filasterea	Filasterea_X	2	3	1	0	5367	6611	5989
Opisthokonta	Ichthyosporea	Ichthyosporea_X	2	4	4	0.00624587095862467	5407	5486	5446
Opisthokonta	Opisthokonta_X	Opisthokonta_XX	1	1	1	0	5946	5946	5946
SAR	Alveolata	Apicomplexa	151	59	30	0.00296703410151152	4647	10794	6337.74834437086
SAR	Alveolata	Ciliophora	28	3	1	0	5209	6274	5584.14285714286
SAR	Alveolata	Dinoflagellata	7	33	13	0.00963103425467006	5078	5844	5508.85714285714
SAR	Alveolata	Perkinzoa	2	2	1	0	5936	6044	5990
SAR	Rhizaria	Cercozoa	3	6	2	0.00197244430769545	5107	6545	6117.66666666667
SAR	Rhizaria	Endomyxa	1	1	1	0	4702	4702	4702
SAR	Stramenopiles	Ochrophyta	28	376	7	0.00268553746756362	4799	6383	5897
SAR	Stramenopiles	Oomycota	157	72	15	0.00838703362382621	4261	7317	6053.65605095541
SAR	Stramenopiles	Bacillariophyta	27	24	13	0.00308516170991247	4713	6401	5795.07407407407
SAR	Stramenopiles	Bigyra	15	102	87	0.00333850409031964	4436	6489	5664.26666666667
SAR	Stramenopiles	Oochropyhta	2	48	2	0.00441133382035206	5262	6164	5554
