subdivision	mean_distance	min_distance	max_distance	median_distance	distance_range	std_dev
Acanthocephala	0.000751740691595591	0	0.0027651826858255	0.00078892001622207	0.0027651826858255	0.000722453832003962
Agaricomycotina	0.051794541602218	0	0.0831558818675785	0.0621420201799584	0.0831558818675785	0.0275023795352234
Annelida	0.13507438863216	0	0.256679690777408	0.145881177043101	0.256679690777408	0.0616636297635261
Aphelidiomycota	NA	Inf	-Inf	NA	-Inf	NA
Apicomplexa	0.186907549364555	0	0.372117082727754	0.230032197006607	0.372117082727754	0.105559471232157
Apusozoa_XXX	NA	Inf	-Inf	NA	-Inf	NA
Ascomycota	NA	NA	NA	NA	NA	NA
Bacillariophyta	0.102909684191066	0	0.189455898941934	0.105064182573936	0.189455898941934	0.0474924340288528
Basidiomycota	0.0409012202375225	0	0.463225585077757	0.0391463069546335	0.463225585077757	0.0311670295035623
Bigyra	0.133834643262406	0	0.303970977686272	0.155754781207093	0.303970977686272	0.119226717329031
Blastocladiomycota	0.129167997558952	0.00167830210658975	0.169988277603086	0.148538699120516	0.168309975496497	0.0643151196497176
Cercozoa	0.268458038857852	0.00256870166786213	0.414999089063438	0.298061160350682	0.412430387395576	0.164613494125976
Chlorophyta	0.097824741051262	0	0.477119618684423	0.0946481233767213	0.477119618684423	0.0557156194931342
Chordata	NA	NA	NA	NA	NA	NA
Chytridiomycota	0.112493994889092	0	0.199136983816762	0.115788978481492	0.199136983816762	0.0404222611882302
Ciliophora	0.176319153151855	0	0.45185706037718	0.186491056297792	0.45185706037718	0.103051893349834
Cnidaria	0.100131736414151	0	0.469349156536952	0.0969100510248048	0.469349156536952	0.0596312180394561
Ctenophora	0.205223672513753	0.00178305411347271	0.431214279017159	0.159903625196344	0.429431224903686	0.152497337969154
Dinoflagellata	0.0474535290068307	0.00127770068726965	0.176024274088618	0.0286434280151343	0.174746573401349	0.0416992724342215
Discosea_X	0.0660818616524831	0	0.501420327512393	0.012298562155701	0.501420327512393	0.103022728538088
Echinamoebida	0.102878115238385	0.102878115238385	0.102878115238385	0.102878115238385	0	NA
Echinodermata	0.188738228462623	0	0.341327602186222	0.196278786491715	0.341327602186222	0.0587371210498531
Endomyxa	NA	Inf	-Inf	NA	-Inf	NA
Euglenozoa	0.0602268338506138	0	0.476221905851096	0.045886028386611	0.476221905851096	0.076092436485649
Eumycetozoa	0.278726179094836	0.122448867005203	0.398119672340718	0.273028025635524	0.275670805335515	0.0749798727633307
Filasterea_X	0.163776732426251	0.163776732426251	0.163776732426251	0.163776732426251	0	NA
Fornicata	0.209108798838248	0.00582591252465741	0.412209560879737	0.209619909410685	0.40638364835508	0.219876919409394
Fungi_X	NA	Inf	-Inf	NA	-Inf	NA
Glaucophyta_X	NA	Inf	-Inf	NA	-Inf	NA
Haptophyta_X	0.18732926190933	0.130997222801707	0.217894736825657	0.213095826100626	0.0868975140239497	0.0488439490474896
Heterolobosea	0.261353642975623	0	0.442877968916208	0.286963039188111	0.442877968916208	0.197607070121779
Ichthyosporea_X	0.0732019579228876	0.0041114683755095	0.169481390008536	0.0164849073669661	0.165369921633026	0.0796116281710862
Mantamonadidea_X	NA	Inf	-Inf	NA	-Inf	NA
Mollusca	0.102922747910803	0	0.816954657996746	0.0766406670545566	0.816954657996746	0.0854585406210183
Mucoromycota	0.127960895486318	0	0.341581023810754	0.137288750090321	0.341581023810754	0.0689263994490766
Nematoda	0.179675444295978	0	0.573951095918858	0.199891510628179	0.573951095918858	0.084165005308776
Nemertea	0.00015595163469217	0.00015595163469217	0.00015595163469217	0.00015595163469217	0	NA
Ochrophyta	0.150869159008465	0	0.50808486266426	0.157842471361537	0.50808486266426	0.0940249170580617
Oochropyhta	0.09098560039119	0.0088421992915538	0.136604122996362	0.127510478885655	0.127761923704808	0.0712834296941781
Oomycota	0.0346128434535684	0	0.271726435249941	0.023309841797803	0.271726435249941	0.0350191888443872
Opisthokonta_XX	NA	Inf	-Inf	NA	-Inf	NA
Perkinzoa	0.206503352842556	0.206503352842556	0.206503352842556	0.206503352842556	0	NA
Platyhelminthes	0.155379061697577	0	0.951552300838895	0.239324192278169	0.951552300838895	0.144203192760486
Porifera	0.160902535249641	0	0.319736265720765	0.179813337393007	0.319736265720765	0.0794076709904101
Preaxostyla	0.0029580500324923	0.0029580500324923	0.0029580500324923	0.0029580500324923	0	NA
Priapulida	NA	Inf	-Inf	NA	-Inf	NA
Rhodophyta	0.181333949457321	0	0.36647913005931	0.14131476050115	0.36647913005931	0.12625724926329
Rotifera	0.137782238914166	0	0.387806759899099	0.026464366906666	0.387806759899099	0.161958509661688
Spiralia	0.182325099388313	0.182325099388313	0.182325099388313	0.182325099388313	0	NA
Tardigrada	0.104669187486854	0	0.14637482799182	0.137620264751651	0.14637482799182	0.0612311733595863
Variosea	0.29997896043673	0.29997896043673	0.29997896043673	0.29997896043673	0	NA
Zoopagomycota	0.150744821212531	0	0.340244005399683	0.136606227908715	0.340244005399683	0.0895376137873604
