subdivision,class,order,total_size
Arthropoda,Insecta,Blattodea,3
Arthropoda,Insecta,Coleoptera,63
Arthropoda,Insecta,Diptera,491
Arthropoda,Insecta,Ephemeroptera,4
Arthropoda,Insecta,Hemiptera,31
Arthropoda,Insecta,Hymenoptera,104
Arthropoda,Insecta,Lepidoptera,978
Arthropoda,Insecta,Mantodea,5
Arthropoda,Insecta,Odonata,10
Arthropoda,Insecta,Orthoptera,15
Arthropoda,Insecta,Phasmatodea,2
Arthropoda,Insecta,Siphonaptera,1
Arthropoda,Insecta,Thysanoptera,2
Arthropoda,Insecta,Trichoptera,36
Arthropoda,Arachnida,Araneae,33
Arthropoda,Arachnida,Ixodida,4
Arthropoda,Arachnida,Mesostigmata,5
Arthropoda,Arachnida,Opiliones,1
Arthropoda,Arachnida,Pseudoscorpiones,1
Arthropoda,Arachnida,Sarcoptiformes,18
Arthropoda,Arachnida,Trombidiformes,1
Arthropoda,Merostomata,Xiphosura,5
Arthropoda,Malacostraca,Amphipoda,1
Arthropoda,Malacostraca,Decapoda,2
Arthropoda,Hexanauplia,Cyclopoida,1
Arthropoda,Hexanauplia,Harpacticoida,2
Arthropoda,Hexanauplia,Siphonostomatoida,3
Arthropoda,Collembola,Entomobryomorpha,7
Arthropoda,Collembola,Poduromorpha,1
Arthropoda,Collembola,Symphypleona,6
Arthropoda,Branchiopoda,Anostraca,1
Arthropoda,Branchiopoda,Diplostraca,2
Arthropoda,Thecostraca,Balanomorpha,2
Arthropoda,Thecostraca,Cirripedia,2
Arthropoda,Thecostraca,Pollicipedomorpha,2
Arthropoda,Chilopoda,Scolopendromorpha,1
Arthropoda,Ostracoda,Podocopida,3
Chordata,Actinopteri,Acipenseriformes,3
Chordata,Actinopteri,Albuliformes,2
Chordata,Actinopteri,Anabantiformes,7
Chordata,Actinopteri,Anguilliformes,12
Chordata,Actinopteri,Argentiniformes,2
Chordata,Actinopteri,Atheriniformes,2
Chordata,Actinopteri,Beloniformes,2
Chordata,Actinopteri,Blenniiformes,4
Chordata,Actinopteri,Carangaria,7
Chordata,Actinopteri,Carangiformes,6
Chordata,Actinopteri,Centrarchiformes,3
Chordata,Actinopteri,Chaetodontiformes,2
Chordata,Actinopteri,Characiformes,11
Chordata,Actinopteri,Cichliformes,12
Chordata,Actinopteri,Clupeiformes,15
Chordata,Actinopteri,Cypriniformes,84
Chordata,Actinopteri,Cyprinodontiformes,4
Chordata,Actinopteri,Elopiformes,2
Chordata,Actinopteri,Eupercaria,9
Chordata,Actinopteri,Gadiformes,11
Chordata,Actinopteri,Galaxiiformes,3
Chordata,Actinopteri,Gobiiformes,5
Chordata,Actinopteri,Gonorynchiformes,3
Chordata,Actinopteri,Holocentriformes,2
Chordata,Actinopteri,Istiophoriformes,2
