name	Genome	NCBI_Taxid	superkingdom	phylum	class	order	family	genus	species
Anthracobia sp. CZU v1.0	Antsp2	2709752	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Anthracobia	Anthracobia sp.
Trichoderma atroviride SC1 v1.0	TriatSC1_1	63577	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma atroviride
Butyriboletus roseoflavus v1.0	Butyri1	1325616	Eukaryota	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Butyriboletus	Butyriboletus roseoflavus
Pichia kudriavzevii YB-431	Pickudri1	4909	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia kudriavzevii
Calcarisporiella thermophila CBS 279.70	Calth1	911321	Eukaryota	Mucoromycota	NA	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	Calcarisporiella thermophila
Corynascus sepedonium ATCC9787	Corse1	190048	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Corynascus	Corynascus sepedonium
Acremonium thermophilum ATCC 24622	Acrth1	223376	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	NA	Acremonium	Acremonium thermophilum
Aureobasidium pullulans ATCC 62921	Aurpu1	5580	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium pullulans
Chaetomium olivicolor CBS 102434	Chaol1	1485946	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium olivicolor
Thermomyces dupontii NRRL 2155	Talth1	28565	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Thermomyces	Thermomyces dupontii
Rasamsonia byssochlamydoides NRRL 3658	Rasby1	89139	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia	Rasamsonia byssochlamydoides
Rasamsonia emersonii NRRL 3221	Talem1	68825	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia	Rasamsonia emersonii
Rhizomucor pusillus CBS 18367	Rhipu1	4840	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Rhizomucor	Rhizomucor pusillus
Thermoascus crustaceus CBS 18167	Thecr1	5088	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Thermoascus	Thermoascus crustaceus
Thermoascus thermophilus ATCC 26413	Theth1	1131473	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Thermoascus	Thermoascus thermophilus
Trametes versicolor ATCC 20869	Traver1	5325	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes versicolor
Malbranchea cinnamomea CBS 34355	Malci1	5041	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Malbranchea	Malbranchea cinnamomea
Thermomyces stellatus CBS 21464	Theste1	2075419	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Thermomyces	Thermomyces stellatus
Oculimacula yallundae CBS 49480	Ocuya1	86028	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Oculimacula	Oculimacula yallundae
Thermomyces lanuginosus ATCC 200065	Thela1	5541	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Thermomyces	Thermomyces lanuginosus
Thermothelomyces fergusii CBS 405.69	Thefe1	2588716	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thermothelomyces	Thermothelomyces sp. XWW-2019c
Thermocarpiscus australiensis ATCC 28236	Thiau1	113626	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thielavia	Thielavia australiensis
Thermothelomyces hinnuleus ATCC 52474	Thehi1	225406	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thermothelomyces	Thermothelomyces hinnuleus
Humicola hyalothermophila CBS 45480	Humhy1	1486343	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Humicola hyalothermophila
