"","assembly_id","rDNA_copynumber","taxid","superkingdom","supergroup","kingdom","phylum","class","order","family","genus","species"
"1","GCA_000001215",4,7227,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster"
"2","GCA_000001735",1,3702,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana"
"3","GCA_000001765",16,46245,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila pseudoobscura"
"4","GCA_000001985",1,441960,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces marneffei"
"5","GCA_000002035",3,7955,"Eukaryota","Opisthokonta","Metazoa","Chordata","Actinopteri","Cypriniformes","Danionidae","Danio","Danio rerio"
"6","GCA_000002075",1,6500,"Eukaryota","Opisthokonta","Metazoa","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","Aplysia californica"
"7","GCA_000002235",1,7668,"Eukaryota","Opisthokonta","Metazoa","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus purpuratus"
"8","GCA_000002325",4,7425,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Nasonia","Nasonia vitripennis"
"9","GCA_000002335",4,7070,"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Tribolium","Tribolium castaneum"
"10","GCA_000002415",3,5855,"Eukaryota","SAR","Alveolata","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium vivax"
"11","GCA_000002425",4,3218,"Eukaryota","Archaeplastida","Viridiplantae","Streptophyta","Bryopsida","Funariales","Funariaceae","Physcomitrium","Physcomitrium patens"
"12","GCA_000002445",1,185431,"Eukaryota","Eukaryota_X","Discoba","Euglenozoa","Kinetoplastea","Trypanosomatida","Trypanosomatidae","Trypanosoma","Trypanosoma brucei"
"13","GCA_000002455",1,227086,"Eukaryota","SAR","Rhizaria","Cercozoa","Chlorarachniophyceae","Chlorarachniophyceae_X","Chlorarachniophyceae_X","Bigelowiella","Bigelowiella natans"
"14","GCA_000002515",1,28985,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Kluyveromyces","Kluyveromyces lactis"
"15","GCA_000002545",1,5478,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Nakaseomyces","[Candida] glabrata"
"16","GCA_000002595",1,3055,"Eukaryota","Archaeplastida","Viridiplantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","Chlamydomonas reinhardtii"
"17","GCA_000002655",1,330879,"Eukaryota","Opisthokonta","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus fumigatus"
