assembly_id	qseqid	taxid	staxid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	ssuperkingdom	skingdom	sphylum	ssubphylum	sclass	sorder	sfamily	sgenus	sspecies	rDNA_copynumber	superkingdom	supergroup	kingdom	phylum	class	order	family	genus	species
GCA_000001985	GCA_000001985|DS995909.1/8328-2599;size=1	441960	4959	gi|2443212260|gb|CP046879.1|	99.983	5730	1	0	1	5730	765016	770745	0	10576	2260382	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces hansenii	1	Eukaryota	Opisthokonta	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces marneffei
GCA_000003625	GCA_000003625|AAGW02082887.1/6481-671;size=1	9986	208348	gi|2413988779|gb|CP110436.1|	97.957	5826	83	22	1	5811	2250337	2244533	0	10067	4638856	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia triticina	1	Eukaryota	Opisthokonta	Metazoa	Chordata	Mammalia	Lagomorpha	Leporidae	Oryctolagus	Oryctolagus cuniculus
GCA_000143365	GCA_000143365|CH408039.1/1534-7230;size=1	306901	1010633	gi|1832288657|emb|LR761623.1|	98.438	5697	15	72	1	5697	3457495	3463117	0	9960	60747861	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Digitaria	Digitaria exilis	3	Eukaryota	Opisthokonta	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum
GCA_000143365	GCA_000143365|CH408039.1/16682-20827;size=1	306901	1010633	gi|1832288657|emb|LR761623.1|	98.866	4145	26	20	1	4144	3457495	3461619	0	7374	60747861	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Digitaria	Digitaria exilis	3	Eukaryota	Opisthokonta	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum
GCA_000143365	GCA_000143365|CH408039.1/9421-15084;size=1	306901	1010633	gi|1832288657|emb|LR761623.1|	98.799	5664	15	50	1	5664	3457507	3463117	0	10033	60747861	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Digitaria	Digitaria exilis	3	Eukaryota	Opisthokonta	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum
GCA_000149185	GCA_000149185|GL501727.1/5627-10963;size=1	39758	3702	gi|2279790795|gb|CP086730.1|	96.606	5362	82	68	1	5337	259958	265244	0	8802	20848677	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	Arabidopsis thaliana	1	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Insecta	Diptera	Cecidomyiidae	Mayetiola	Mayetiola destructor
GCA_000149405	GCA_000149405|CM000651.1/651032-656891;size=1	296543	29204	gi|1169296927|gb|KY364697.1|	96.231	3370	111	8	2482	5839	2478	5843	0	5505	5843	Eukaryota	NA	Bacillariophyta	NA	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella	Cyclotella cryptica	1	Eukaryota	SAR	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira pseudonana
GCA_000150475	GCA_000150475|KN305544.1/15066-20783;size=4	482561	4968	gi|308219087|gb|GQ867787.1|	94.682	5265	217	52	179	5416	1	5229	0	8113	5229	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Eremascaceae	Eremascus	Eremascus albus	4	Eukaryota	Opisthokonta	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_X	Paracoccidioides	Paracoccidioides brasiliensis
GCA_000150535	GCA_000150535|DS983309.1/7677-1844;size=1	3649	237574	gi|2504382694|gb|ON479690.1|	94.525	5881	236	70	1	5834	55	5896	0	8997	7390	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus sunki	1	Eukaryota	Archaeplastida	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Caricaceae	Carica	Carica papaya
GCA_000150705	GCA_000150705|KN293998.1/489543-495264;size=4	502779	4968	gi|308219087|gb|GQ867787.1|	94.68	5263	225	46	179	5420	1	5229	0	8117	5229	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Eremascaceae	Eremascus	Eremascus albus	5	Eukaryota	Opisthokonta	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_X	Paracoccidioides	Paracoccidioides lutzii
