assembly_id	qseqid	taxid	staxid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	ssuperkingdom	skingdom	sphylum	ssubphylum	sclass	sorder	sfamily	sgenus	sspecies	rDNA_copynumber	superkingdom	supergroup	kingdom	phylum	class	order	family	genus	species
GCA_000003625	GCA_000003625|AAGW02082887.1/6481-671;size=1	9986	208348	gi|2413988779|gb|CP110436.1|	97.957	5826	83	22	1	5811	2250337	2244533	0	10067	4638856	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia triticina	1	Eukaryota	Opisthokonta	Metazoa	Chordata	Mammalia	Lagomorpha	Leporidae	Oryctolagus	Oryctolagus cuniculus
GCA_000143365	GCA_000143365|CH408039.1/1534-7230;size=1	306901	1010633	gi|1832288657|emb|LR761623.1|	98.438	5697	15	72	1	5697	3457495	3463117	0	9960	60747861	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Digitaria	Digitaria exilis	3	Eukaryota	Opisthokonta	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum
GCA_000143365	GCA_000143365|CH408039.1/16682-20827;size=1	306901	1010633	gi|1832288657|emb|LR761623.1|	98.866	4145	26	20	1	4144	3457495	3461619	0	7374	60747861	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Digitaria	Digitaria exilis	3	Eukaryota	Opisthokonta	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum
GCA_000143365	GCA_000143365|CH408039.1/9421-15084;size=1	306901	1010633	gi|1832288657|emb|LR761623.1|	98.799	5664	15	50	1	5664	3457507	3463117	0	10033	60747861	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Digitaria	Digitaria exilis	3	Eukaryota	Opisthokonta	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum
GCA_000149185	GCA_000149185|GL501727.1/5627-10963;size=1	39758	3702	gi|2279790795|gb|CP086730.1|	96.606	5362	82	68	1	5337	259958	265244	0	8802	20848677	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	Arabidopsis thaliana	1	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Insecta	Diptera	Cecidomyiidae	Mayetiola	Mayetiola destructor
GCA_000220665	GCA_000220665|AFFG02006695.1/6788-834;size=1	30025	4932	gi|2546291152|gb|CP129579.1|	99.916	5959	0	5	1	5955	437935	431978	0	10972	989421	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae	1	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila ficusphila
GCA_000261425	GCA_000261425|KL650062.1/2378-7995;size=1	1151026	1010633	gi|1832288657|emb|LR761623.1|	99.023	5631	33	16	1	5618	42783135	42788756	0	10074	60747861	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Poales	Poaceae	Digitaria	Digitaria exilis	1	Eukaryota	Opisthokonta	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium sphaerospermum
GCA_000326985	GCA_000326985|CAKG01019517.1/870-6323;size=1	28584	36015	gi|2508740335|gb|CP125797.1|	95.738	5491	169	48	5	5454	40639	35173	0	8783	1009114	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia kluyveri	1	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila suzukii
GCA_000507165	GCA_000507165|AYNC02012793.1/14996-9966;size=1	1049336	64504	gi|1405239019|ref|NG_027623.1|	87.849	823	78	13	3307	4118	851	1662	0	946	3134	Eukaryota	Fungi	Blastocladiomycota	NA	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces	Allomyces arbusculus	4	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Insecta	Ephemeroptera	Ephemeridae	Ephemera	Ephemera danica
GCA_000597645	GCA_000597645|JARA01006056.1/1377-7229;size=1	1432141	2547412	gi|2058478854|gb|MZ456968.1|	97.164	5853	137	19	17	5853	1	5840	0	9862	5849	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	Asterales	Asteraceae	Atractylodes	Atractylodes japonica	2	Eukaryota	Opisthokonta	Fungi	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus irregularis
